id,type,seeAlso,inScheme,notation,prefLabel,topConceptOf,definition,note,broader,broaderTransitive,semanticRelation,narrower,narrowerTransitive,altLabel,theme,gekoppelde_eigenschap,belongsTo,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/leegstand/procedure/registreren,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/geregistreerd_in_inventaris|https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/niet_geregistreerd_in_inventaris,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,Registreren,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/procedure,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/rol/curator,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,Curator,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/rol/eigenaar,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,Eigenaar,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,"De houder van een van de volgende zakelijke rechten met betrekking tot een bedrijfsgebouw: de volle eigendom, het recht van opstal of van erfpacht, het vruchtgebruik","De houder van een van de volgende zakelijke rechten met betrekking tot een bedrijfsgebouw: de volle eigendom, het recht van opstal of van erfpacht, het vruchtgebruik",null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/rol/instrumenterend_ambtenaar,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,Instrumenterend ambtenaar,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,Iedere persoon of instelling die ertoe gemachtigd is aktes van eigendomsoverdracht te verlijden,Iedere persoon of instelling die ertoe gemachtigd is aktes van eigendomsoverdracht te verlijden,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/rol/raadsman,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,Raadsman,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/rol,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,OPSCH_ANVRD,Opschorting aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_aanvaard_begeleidende_brief,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,OPSCH_ANVRD_BEG_BRIEF,Begeleidende brief bij opschorting aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_niet_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_opschorting_heffing_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,OPSCH_NANVRD,Opschorting niet aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_niet_aanvaard_begeleidende_brief,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_opschorting_heffing_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,OPSCH_NANVRD_BEG_BRIEF,Begeleidende brief bij opschorting niet aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_schrapping_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,SCHR_ANVRD,Schrapping aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_schrapping_niet_aanvaard,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/aanvraag_schrapping_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,SCHR_NANVRD,Schrapping niet aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_schrapping_niet_aanvaard_begeleidende_brief,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/aanvraag_schrapping_niet_aanvaard,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,SCHR_NANVRD_BEG_BRIEF,Begeleidende brief bij schrapping niet aanvaard beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beroep_tegen_registratie_ingewilligd,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/beslissing/beroep_tegen_registratie_ingewilligd,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,BER_INGWD,Beroep ingewilligd beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beroep_tegen_registratie_ingewilligd_begeleidende_brief,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beroep_tegen_registratie_ingewilligd,https://data.omgeving.vlaanderen.be/id/conceptscheme/leegstand/stuk,BER_INGWD_BEG_BRIEF,Begeleidende brief bij beroep ingewilligd beslissingsstuk,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,https://data.omgeving.vlaanderen.be/id/concept/leegstand/stuk/beslissingsstuk,null,null,null,null,null,null,null
